Complexity,Loss,Equation
1,1.0256189,"theta_hat"
3,0.42982614,"(0.0020884955 * Tr2)"
4,0.4298261,"(sin(0.0020884955) * Tr2)"
5,0.12511048,"(0.0032669827 * (Tr2 * theta_hat))"
7,0.121755585,"(((0.003519328 * Tr2) - eta_hat_3) * theta_hat)"
8,0.040298052,"(0.0038847136 * ((Tr2 * cos(eta)) * theta_hat))"
9,0.013489924,"(0.0026820262 * ((Tr2 / (0.5930055 + eta_hat_3)) * theta_hat))"
10,0.01258465,"(((0.0020650676 * Tr2) / sqrt(eta_hat_3 - -0.19898649)) * theta_hat)"
12,0.012561091,"(((0.0020843227 * Tr2) / sqrt(eta_hat_3 - -0.19987105)) * (theta_hat - 0.0062199896))"
13,0.0125278905,"(((0.0020651445 * (Tr2 + cos(Tr2))) / sqrt(eta_hat_3 - -0.19897386)) * theta_hat)"
15,0.011610186,"(((0.0020655172 * (Tr2 + (cos(Tr2) * Tr))) / sqrt(eta_hat_3 - -0.19897386)) * theta_hat)"
16,0.011610185,"(((sin(0.0020655172) * (Tr2 + (cos(Tr2) * Tr))) / sqrt(eta_hat_3 - -0.19897386)) * theta_hat)"
17,0.011048897,"(((0.0020594378 * Tr2) / square(sqrt(sqrt(eta_hat_3 - -0.19660164) - (0.021498684 * cos(Tr2))))) * theta_hat)"
19,0.01094307,"(((0.002065001 * (Tr2 + (cos((Tr2 + eta) + eta_hat_3) * Tr))) / sqrt(eta_hat_3 - -0.19897386)) * theta_hat)"
20,0.010896084,"(((0.002065001 * (Tr2 + (cos(Tr2 + sin(eta ^ -1.4223359)) * Tr))) / sqrt(eta_hat_3 - -0.19897386)) * theta_hat)"
