ime podatkovja,knn,drevo,bayes,najboljsi
iris,1.0,1.0,1.0,KNeighborsClassifier()
zoo,0.9230769230769231,0.9230769230769231,0.9615384615384616,GaussianNB()
wine,0.7111111111111111,0.9555555555555556,1.0,GaussianNB()
hayes-roth,0.55,0.85,0.75,DecisionTreeClassifier()
fri_c3_100_50,0.48,0.68,0.52,DecisionTreeClassifier()
pwLinear,0.76,0.84,0.76,DecisionTreeClassifier()
fri_c2_100_5,0.8,0.64,0.72,KNeighborsClassifier()
visualizing_environmental,0.6428571428571429,0.75,0.6785714285714286,DecisionTreeClassifier()
wisconsin,0.5306122448979592,0.5306122448979592,0.6122448979591837,GaussianNB()
fri_c0_100_5,0.84,0.84,0.88,GaussianNB()
autoPrice,0.975,0.925,0.925,KNeighborsClassifier()
fri_c2_100_10,0.76,0.8,0.76,DecisionTreeClassifier()
fri_c3_100_25,0.52,0.64,0.52,DecisionTreeClassifier()
fri_c2_100_25,0.64,0.88,0.72,DecisionTreeClassifier()
fri_c3_100_10,0.6,0.8,0.6,DecisionTreeClassifier()
triazines,0.6808510638297872,0.7659574468085106,0.5106382978723404,DecisionTreeClassifier()
fri_c1_100_10,0.76,0.68,0.88,GaussianNB()
fri_c0_100_10,0.68,0.64,0.88,GaussianNB()
fri_c1_100_25,0.84,0.88,0.68,DecisionTreeClassifier()
fri_c1_100_5,0.84,0.84,0.76,KNeighborsClassifier()
fri_c0_100_50,0.56,0.6,0.76,GaussianNB()
fri_c4_100_25,0.76,0.84,0.64,DecisionTreeClassifier()
fri_c1_100_50,0.44,0.6,0.48,DecisionTreeClassifier()
fri_c4_100_10,0.64,0.64,0.64,KNeighborsClassifier()
transplant,1.0,1.0,1.0,KNeighborsClassifier()
fri_c0_100_25,0.8,0.76,0.8,KNeighborsClassifier()
fri_c3_100_5,0.72,0.6,0.48,KNeighborsClassifier()
fri_c2_100_50,0.6,0.76,0.68,DecisionTreeClassifier()
fri_c4_100_50,0.6,0.8,0.52,DecisionTreeClassifier()
kc1-top5,0.9459459459459459,0.8918918918918919,0.9459459459459459,KNeighborsClassifier()
kc1-binary,0.7027027027027027,0.7567567567567568,0.7297297297297297,DecisionTreeClassifier()
datatrieve,0.9393939393939394,0.8787878787878788,0.8181818181818182,KNeighborsClassifier()
MyIris,1.0,1.0,1.0,KNeighborsClassifier()
KungChi3,0.8064516129032258,0.8709677419354839,0.8387096774193549,DecisionTreeClassifier()
KnuggetChase3,0.7551020408163265,0.7142857142857143,0.7142857142857143,KNeighborsClassifier()
MindCave2,0.84375,0.71875,0.875,GaussianNB()
breast-tissue,0.3333333333333333,0.2962962962962963,0.48148148148148145,GaussianNB()
fertility,0.88,0.92,0.92,DecisionTreeClassifier()
parkinsons,0.8367346938775511,0.8979591836734694,0.7346938775510204,DecisionTreeClassifier()
planning-relax,0.6304347826086957,0.5434782608695652,0.7608695652173914,GaussianNB()
heart-long-beach,0.3,0.3,0.18,KNeighborsClassifier()
heart-switzerland,0.22580645161290322,0.25806451612903225,0.06451612903225806,DecisionTreeClassifier()
robot-failures-lp4,0.7666666666666667,0.8333333333333334,0.9666666666666667,GaussianNB()
robot-failures-lp5,0.5853658536585366,0.5365853658536586,0.5853658536585366,KNeighborsClassifier()
Smartphone-Based_Recognition_of_Human_Activities,0.8888888888888888,0.9777777777777777,0.9333333333333333,DecisionTreeClassifier()
iris_test_upload,1.0,1.0,1.0,KNeighborsClassifier()
TuningSVMs,0.5897435897435898,0.6666666666666666,0.6153846153846154,DecisionTreeClassifier()
JuanFeldmanIris,1.0,1.0,1.0,KNeighborsClassifier()
iris-example,1.0,1.0,1.0,KNeighborsClassifier()
iriiiiiis,1.0,1.0,1.0,KNeighborsClassifier()
iris_reproduced,1.0,1.0,1.0,KNeighborsClassifier()
Iris,1.0,1.0,1.0,KNeighborsClassifier()
